INDEX,TimeStamp,VehicleModel,LocalX,LocalY,LocalZ,Yaw,Velocity,EngineRPM,SteeringAngle,AccelPedalRate,BrakePedalRate,YawRate,Pitch
13238.0,2.699999999999932,MOHAVE,-65.22885131835938,-129.7357635498047,0.3223327398300171,-126.46675109863281,1.1846488051944308,0.0,-1.7966495752334595,0.20999999344348907,0.029999999329447746,-0.015257253005955857,0.307403564453125
13239.0,2.75,MOHAVE,-65.27277374267578,-129.79513549804688,0.3223426043987274,-126.5172119140625,1.2247282928890653,0.0,-1.5653977394104004,0.20999999344348907,0.029999999329447746,-0.013846105321863618,0.307037353515625
13240.0,2.7999999999999545,MOHAVE,-65.30298614501953,-129.83590698242188,0.32235363125801086,-126.54806518554688,1.2509862581888835,0.0,-1.4662121534347534,0.20999999344348907,0.029999999329447746,-0.01244833482076252,0.306640625
13241.0,2.849999999999909,MOHAVE,-65.34590911865234,-129.8937530517578,0.3223700225353241,-126.58721923828125,1.289790603849623,0.0,-1.0746585130691528,0.20999999344348907,0.029999999329447746,-0.011872869401683032,0.305999755859375
13242.0,2.8999999999999773,MOHAVE,-65.37757873535156,-129.93638610839844,0.32238009572029114,-126.61212158203125,1.315423117743598,0.0,-0.5929537415504456,0.20999999344348907,0.029999999329447746,-0.009193520245305856,0.305572509765625
13243.0,2.949999999999932,MOHAVE,-65.4259033203125,-130.0012664794922,0.32239148020744324,-126.63555908203125,1.3535006841023762,0.0,-0.1818394958972931,0.20999999344348907,0.029999999329447746,-0.005179380186418753,0.305084228515625
13244.0,3.0,MOHAVE,-65.4725341796875,-130.06382751464844,0.3224003314971924,-126.6456298828125,1.3911996947394476,0.0,0.0695723295211792,0.20999999344348907,0.029999999329447746,-0.000268771080600678,0.3046875
13245.0,3.0499999999999545,MOHAVE,-65.50764465332031,-130.11093139648438,0.32240578532218933,-126.6455078125,1.4161694049835205,0.0,0.600860059261322,0.20999999344348907,0.029999999329447746,0.0004821558876645575,0.304443359375
13246.0,3.099999999999909,MOHAVE,-65.56009674072266,-130.18133544921875,0.3223782479763031,-126.6331787109375,1.4589754740397136,0.0,0.9577624201774597,0.20999999344348907,0.019999999552965164,0.00749471631352548,0.30535888671875
13247.0,3.1499999999999773,MOHAVE,-65.5965576171875,-130.23025512695312,0.32231247425079346,-126.61393737792969,1.4891956912146673,0.0,1.2606112957000732,0.21040815114974976,0.019999999552965164,0.008724913124668495,0.3077392578125
13248.0,3.199999999999932,MOHAVE,-65.64659881591797,-130.29750061035156,0.3222584128379822,-126.580078125,1.5342786577012804,0.0,1.3766415119171143,0.2199999988079071,0.019999999552965164,0.011918533251702184,0.310089111328125
13249.0,3.25,MOHAVE,-65.68534851074219,-130.34967041015625,0.3222479224205017,-126.54994201660156,1.5618803766038682,0.0,1.6399402618408203,0.2199999988079071,0.029285695403814316,0.013214831073487456,0.310821533203125
13250.0,3.2999999999999545,MOHAVE,-65.74272155761719,-130.427001953125,0.32229718565940857,-126.4971923828125,1.605031887690226,0.0,1.8500155210494995,0.2199999988079071,0.019999999552965164,0.017719976894195705,0.309356689453125
13251.0,3.349999999999909,MOHAVE,-65.78248596191406,-130.48065185546875,0.322272926568985,-126.45413208007812,1.6357183456420898,0.0,1.9691333770751953,0.2199999988079071,0.019999999552965164,0.018746425757339497,0.31005859375
