INDEX,TimeStamp,VehicleModel,LocalX,LocalY,LocalZ,Yaw,Velocity,EngineRPM,SteeringAngle,AccelPedalRate,BrakePedalRate,YawRate,Pitch
10937.0,0.0,MOHAVE,-90.11819426343973,-774.4053280958534,0.07590000000000074,-137.30878128805367,0.01687454737929708,0.0,33.25633305021258,0.0,0.2687500335274595,0.04276054326727876,5.636974995306156
10938.0,0.049999999999954525,MOHAVE,-90.12404359712944,-774.410738722055,0.07600000000000051,-137.23630010013588,0.27,0.0,33.96102083303577,0.0,0.16400028610247683,0.053058059194929806,5.629679998569487
10939.0,0.09999999999990905,MOHAVE,-90.12944700527095,-774.4155409118862,0.07620000000000005,-137.16174996393983,0.27,0.0,34.68133393731628,0.0,0.06999994039642102,0.05575362810183022,5.629750000298018
10940.0,0.14999999999997726,MOHAVE,-90.14806589042819,-774.4325330794024,0.07651666686535144,-136.88839997973406,0.27,0.0,35.11340762551991,0.0,0.034166656732393406,0.05555966519373054,5.6284500005960565
10941.0,0.1999999999999318,MOHAVE,-90.16378058764985,-774.4468180586599,0.07679999999999865,-136.80085822852715,0.27,0.0,35.77911211778031,0.0,0.010833283662156525,0.05770914797228921,5.619816635870537
10942.0,0.25,MOHAVE,-90.17076022691113,-774.4532595463291,0.07699999999999818,-136.7157924417708,0.27,0.0,36.46700739382331,0.0,0.0,0.056447153940607675,5.616692304588639
10943.0,0.2999999999999545,MOHAVE,-90.1774799918771,-774.459392609858,0.07716666613685284,-136.62790010331395,0.27,0.0,37.16681405423572,0.0,0.0,0.07039498348518118,5.614166699515207
10944.0,0.34999999999990905,MOHAVE,-90.19410360429374,-774.4788742714612,0.07756666772629742,-136.43547764709004,0.27,0.0,37.35916091140002,0.0,0.0,0.07039498348518118,5.612722248006561
10945.0,0.39999999999997726,MOHAVE,-90.21214078710702,-774.4989146687054,0.0779999999999994,-136.32990010172446,0.27,0.0,37.72977744222838,0.0,0.0,0.07330382087868774,5.615500007549862
10946.0,0.4499999999999318,MOHAVE,-90.22088910773475,-774.5074239643204,0.07819999999999894,-136.2267700522137,0.27,0.0,37.94511101044541,0.0,0.0,0.09285144962700759,5.613570004529958
10947.0,0.5,MOHAVE,-90.23210353743185,-774.5184801521373,0.07798536652594011,-135.70106586441506,0.27,0.0,38.051490477058174,0.0,0.0,0.06925971824336737,5.608129266948119
10948.0,0.5499999999999545,MOHAVE,-90.24688899120959,-774.5336653593523,0.07653125094994506,-135.66886252246337,0.27,0.0,38.07336110639245,0.0,0.0,0.09370236324117132,5.610487498547143
10949.0,0.599999999999909,MOHAVE,-90.27096567703848,-774.5581479299559,0.0749333334657868,-135.53826670825725,0.27,0.0,38.03377777777779,0.0,0.0,0.10646507743637734,5.607966662957954
10950.0,0.6499999999999773,MOHAVE,-90.28255687772875,-774.5693991679217,0.07479999999999976,-135.4090398745916,0.27,0.0,37.95271099031215,0.0,0.0,0.1111969304171098,5.607359979972801
10951.0,0.6999999999999318,MOHAVE,-90.29320549040688,-774.5796992952321,0.07479999999999976,-135.27694977946436,0.27,0.0,37.81703681333724,0.0,0.0,0.09899920540192998,5.589750001986808
10952.0,0.75,MOHAVE,-90.31064585180867,-774.5997352139989,0.07593999618530449,-134.80624015592568,0.4939986648565937,0.0,37.7618668277316,0.0,0.0,0.11499799908465437,5.583800009536739
10953.0,0.7999999999999545,MOHAVE,-90.33521482350334,-774.6272177121201,0.07712499970197467,-134.64407507540076,0.55,0.0,37.611555555555576,0.01,0.0,0.11039206998709283,5.5739750134112045
10954.0,0.849999999999909,MOHAVE,-90.34827482952977,-774.6403290207181,0.07730000000000103,-134.48780742618206,0.55,0.0,37.44396546886919,0.023076990793365483,0.0,0.11969669688119437,5.563069247698341
10955.0,0.8999999999999773,MOHAVE,-90.36012180013867,-774.6530177875544,0.07692909166572724,-134.1378823118865,0.55,0.0,37.2918949814418,0.04,0.0,0.1335054159322917,5.5564218222172075
10956.0,0.9499999999999318,MOHAVE,-90.3823726456945,-774.6807581426569,0.07478571696185266,-133.54825727690735,0.55,0.0,37.242412821677284,0.04,0.0,0.12136974894306486,5.5492857186648505
10957.0,1.0,MOHAVE,-90.40928793948562,-774.7121998703927,0.07313636300582992,-133.35336337343105,0.55,0.0,36.927554969859735,0.05,0.0,0.12598109375931726,5.529318143355621
10958.0,1.0499999999999545,MOHAVE,-90.42463249021155,-774.7285020134091,0.07290000000000063,-133.16035009566374,0.55,0.0,36.581333333333355,0.05,0.0,0.14224434964171834,5.505500018477109
10959.0,1.099999999999909,MOHAVE,-90.43934911085023,-774.7439698036998,0.07279615431170502,-132.8306584680707,0.55,0.0,36.25898291253512,0.058269238528412835,0.0,0.1449965677610437,5.4816192405457995
10960.0,1.1499999999999773,MOHAVE,-90.46205711536722,-774.7689102679649,0.07184999403952709,-131.96865937534247,0.55,0.0,36.04933333333335,0.06,0.0,0.12461679987602826,5.466869924898048
10961.0,1.1999999999999318,MOHAVE,-90.497500967409,-774.8073886362836,0.07069999999999865,-131.716,0.55,0.0,35.81288888888891,0.07,0.0,0.14292326711656367,5.4307
10962.0,1.25,MOHAVE,-90.5162156810298,-774.8271318937232,0.07039999999999935,-131.47119988317445,0.55,0.0,35.60177777777779,0.08,0.0,0.15031171072026642,5.392589984979572
10963.0,1.2999999999999545,MOHAVE,-90.53364682300892,-774.8453557767893,0.07019999999999982,-131.2227717280018,0.55,0.0,35.4769207396937,0.08,0.0,0.13526306755762652,5.36171432707207
10964.0,1.349999999999909,MOHAVE,-90.55210069324964,-774.8821375326055,0.07052857152588429,-130.6828428218666,0.55,0.0,35.446158717832326,0.08,0.0,0.15433697497402518,5.346285714577656
10965.0,1.3999999999999773,MOHAVE,-90.57796175388935,-774.9228904822029,0.07069999999999865,-130.412800030854,0.55,0.0,35.33950327912017,0.09,0.0,0.14167966178002644,5.334729413348654
10966.0,1.4499999999999318,MOHAVE,-90.59666692583329,-774.9449022773609,0.07049999999999912,-130.14761401202296,0.55,0.0,35.19523791034441,0.09,0.0,0.12372464534462602,5.313021421637915
10967.0,1.5,MOHAVE,-90.61373700502423,-774.9650976294337,0.07044999980131693,-129.75658397673286,0.55,0.0,34.9473333836662,0.1,0.0,0.1480620993667391,5.304100001589458
10968.0,1.5499999999999545,MOHAVE,-90.63432504916258,-775.000695156106,0.0712833342605118,-128.87941655924647,0.55,0.0,34.82770361422366,0.1,0.0,0.15678876065313638,5.300183330286891
10969.0,1.599999999999909,MOHAVE,-90.66715971899468,-775.0507517889896,0.07199999999999918,-128.54165932193706,0.55,0.0,34.549599275207015,0.10400009536749985,0.0,0.1389284414855107,5.2773199742507755
10970.0,1.6499999999999773,MOHAVE,-90.68980441061092,-775.0786958085321,0.07179999999999964,-128.189349922813,0.83,0.0,34.259111111111125,0.11,0.0,0.1601339354640974,5.2455250055133575
10971.0,1.6999999999999318,MOHAVE,-90.71096859233326,-775.1040768365664,0.0716399995231624,-127.29723524783634,0.83,0.0,33.924710668181966,0.11,0.0,0.161268372949958,5.22581995803829
10972.0,1.75,MOHAVE,-90.73434759627249,-775.1427246971117,0.074633340088622,-127.16723295146078,0.83,0.0,33.724295927183746,0.11,0.0,0.1627682139766673,5.209833297172665
10973.0,1.7999999999999545,MOHAVE,-90.76860588462296,-775.192803202713,0.07689999999999841,-126.75935017672461,0.83,0.0,33.34288916571442,0.12,0.0,0.15271634595925832,5.162550018179092
10974.0,1.849999999999909,MOHAVE,-90.7924115816132,-775.2229293397941,0.07699999999999818,-126.3727594821545,0.83,0.0,33.027066123071975,0.12,0.0,0.15149474250813436,5.1236799341964305
