INDEX,TimeStamp,VehicleModel,LocalX,LocalY,LocalZ,Yaw,Velocity,EngineRPM,SteeringAngle,AccelPedalRate,BrakePedalRate,YawRate,Pitch
21226.0,0.0,MOHAVE,161.6923378937645,-84.32338677532971,-0.01729999999999876,-87.98721666567324,0.014614141646585886,0.0,-0.5151111111111113,0.01,0.0,0.0007272812064548107,6.628375049174465
21227.0,0.049999999999954525,MOHAVE,161.69233012219223,-84.3237172801542,-0.017399999999998528,-87.98848508349734,0.10212081355848997,0.0,-0.5147517900019698,0.01,0.0,0.0004455949566152407,6.584178743278625
21228.0,0.10000000000013642,MOHAVE,161.69209817846627,-84.33358124549763,-0.017399999999998528,-87.99921250145286,0.21452157959700005,0.0,-0.5066666666666668,0.01,0.0,0.002290808036007631,6.5731687618649834
21229.0,0.15000000000009095,MOHAVE,161.69182584771346,-84.34516276663213,-0.01753125035390392,-87.99722499575317,0.14226888351796696,0.0,-0.5151111111111113,0.01,0.0,0.0027270090119068087,6.543843680281277
21230.0,0.20000000000004547,MOHAVE,161.69176388061533,-84.34779806467128,-0.017699999735093955,-87.99530000185433,0.0605801384823547,0.0,-0.5151111111111113,0.01,0.0,5.548208177608149e-08,6.51030002675565
21231.0,0.25,MOHAVE,161.6916835986553,-84.35121224864714,-0.017800000000001148,-87.92564573781314,0.23096951297365476,0.0,-0.5235555555555558,0.01,0.0,0.0,6.460407627553828
21232.0,0.2999999999999545,MOHAVE,161.69122097647082,-84.3708863748219,-0.017976923119246424,-87.9914692537504,0.3686142869508885,0.0,-0.5235555555555558,0.01,0.0,0.0,6.438273072754299
21233.0,0.3500000000001364,MOHAVE,161.69081713149671,-84.38806085328731,-0.01822857186648614,-88.00495714373297,0.21312516248223382,0.0,-0.5151111111111113,0.01,0.0,-0.003490605002632318,6.398499957084373
21234.0,0.40000000000009095,MOHAVE,161.69072022032924,-84.39218223560601,-0.018499999999999517,-88.0059400023842,0.10063278658973542,0.0,-0.5066666666666668,0.01,0.0,0.0,6.349839883174695
21235.0,0.4500000000000455,MOHAVE,161.69158711046612,-84.39804697124747,-0.01869999999999905,-88.01548301496196,0.3025479772673542,0.0,-0.48882180336504555,0.03,0.0,-0.015290862695091124,6.305790566536802
21236.0,0.5,MOHAVE,161.69891262889797,-84.42124056034339,-0.018730000238417786,-88.08383000262259,0.4901992291652936,0.0,-0.48133333333333356,0.03,0.0,-0.008416472585432495,6.292509963521923
21237.0,0.5499999999999545,MOHAVE,161.69833209375838,-84.44592921642833,-0.01899999999999835,-88.08952499195327,0.31415878805160835,0.0,-0.44755555555555576,0.05,0.0,0.007708837288330919,6.230800046492251
21238.0,0.6000000000001364,MOHAVE,161.69817423961686,-84.45264234524497,-0.019230001192096766,-88.09526001430514,0.1477008697575735,0.0,-0.38084414244694414,0.08300011920953966,0.0,-0.008416357919429424,6.183969879598365
21239.0,0.650000000000091,MOHAVE,161.69798510237675,-84.46068586225648,-0.019525490091581856,-88.08642162265254,0.38742108400382763,0.0,-0.2932375168879473,0.12,0.0,-0.00400397422253795,6.14340001598808
21240.0,0.7000000000000455,MOHAVE,161.69726364503663,-84.49136757524035,-0.019740000953676316,-88.04908000429154,0.6110698159334589,0.0,-0.2077330514690534,0.12,0.0,-0.025830781383178996,6.119179930381642
21241.0,0.75,MOHAVE,161.6965487386819,-84.52177069501678,-0.020264000839229156,-88.05373600965115,0.41227948846072565,0.0,0.03276476335191933,0.16,0.0,-0.0018153035427054265,6.066795917335826
21242.0,0.7999999999999545,MOHAVE,161.69629478180772,-84.53257082602539,-0.020700000000001495,-88.0585666709052,0.20587354003324043,0.0,0.3124444444444446,0.17,0.0,-0.003490713986070436,5.979133255980365
21243.0,0.8500000000001364,MOHAVE,161.69606517552702,-84.54233538270475,-0.021100000000000563,-88.05789314394076,0.429969827740162,0.0,0.658666666666667,0.19,0.0,-0.015358819742054757,5.924619974780624
21244.0,0.900000000000091,MOHAVE,161.70036243124898,-84.57527782185326,-0.021100000000000563,-88.02348606164892,0.7588554272313838,0.0,0.711746528913713,0.1957143392371222,0.0,0.00698125161749682,5.9094428041552485
21245.0,0.9500000000000455,MOHAVE,161.70316522171015,-84.61784906672257,-0.02132500009934277,-88.05345000059606,0.5725280968915576,0.0,1.1400000000000003,0.21,0.0,0.0,5.851174980429481
21246.0,1.0,MOHAVE,161.70282230516676,-84.63243242191417,-0.02152857118528567,-88.055799998297,0.2885954338307172,0.0,1.4645076899788076,0.21,0.002857118528610354,0.0019946450177594595,5.801142905313352
21247.0,1.0499999999999545,MOHAVE,161.70248684340783,-84.64669874460822,-0.02164444625760987,-88.06028886220943,0.5432881898335471,0.0,1.8427653117966065,0.22,0.01,0.0025210017564528363,5.751144463741716
21248.0,1.1000000000001364,MOHAVE,161.7015475452192,-84.68664466750793,-0.018799991655477865,-88.07920000596036,0.8228189051018594,0.0,1.9253344406380193,0.22000011920744217,0.01,1.664449887010915e-07,5.722899825957135
21249.0,1.150000000000091,MOHAVE,161.70055607283567,-84.72880942764658,-0.016800000953651504,-88.08239999332444,0.6212321615976524,0.0,2.296888003052534,0.23999990463484203,0.01,0.013962600727234677,5.649400190730316
21250.0,1.2000000000000455,MOHAVE,161.70008828850905,-84.74870308531139,-0.01670000000000016,-88.08550714088658,0.3699733504093461,0.0,2.6569839236013615,0.25,0.01,0.009349966671345305,5.582557163876605
21251.0,1.25,MOHAVE,161.69968635486052,-84.76579628745094,-0.01670000000000016,-88.08873333333334,0.5714604931965087,0.0,3.090666666666668,0.26,0.01,0.0034906585039886587,5.5068
21252.0,1.2999999999999545,MOHAVE,161.69874508496628,-84.80582606346097,-0.017463635654295172,-87.97350919837454,0.9033410732209801,0.0,3.300242229567191,0.26954544567866756,0.01,0.01880194829511663,5.478204563099451
21253.0,1.3500000000001364,MOHAVE,161.7064524300076,-84.85551291157105,-0.01816666613685274,-87.96733333386314,0.7486300024166049,0.0,3.656444444444446,0.27,0.01,0.025533574906839815,5.349566744019543
21254.0,1.400000000000091,MOHAVE,161.70587468837903,-84.88008277342233,-0.018299999999999983,-87.96662857084469,0.4733191310226038,0.0,4.173365991524889,0.28,0.01,0.014392098922000076,5.233964228201507
21255.0,1.4500000000000455,MOHAVE,161.7053397721892,-84.90283137783173,-0.018284444562182357,-87.96111559252526,0.7531569071085916,0.0,4.7395849763966575,0.28,0.01,0.02291354573873431,5.170144461516439
21256.0,1.5,MOHAVE,161.70410419424297,-84.95537732215598,-0.01810000000000045,-87.8509,1.1209042603476385,0.0,5.075111111111113,0.28,0.01,0.020943951023931952,5.1185
21257.0,1.5499999999999545,MOHAVE,161.70381387318739,-85.01490591149941,-0.017900000000000915,-87.84446250163917,0.9142778821752146,0.0,5.673610821692619,0.28,0.01,0.013550718106977373,5.020387500149014
21258.0,1.6000000000001364,MOHAVE,161.7108485247955,-85.04601870576052,-0.017900000000000915,-87.83789998728442,0.7171830698765049,0.0,6.502223832863222,0.28,0.01,0.021331973745537882,4.928199726614883
21259.0,1.650000000000091,MOHAVE,161.70991274505442,-85.08581500730207,-0.0189115370648888,-87.6398634639438,0.8569939205895822,0.0,7.279111111111114,0.28,0.01,0.018191682090428214,4.845107707515646
21260.0,1.7000000000000455,MOHAVE,161.70883564733566,-85.131621198575,-0.021264698259545443,-87.65924686534943,1.1985475815976594,0.0,7.359084262311443,0.28,0.01,0.0419905367975277,4.8210353634488925
21261.0,1.75,MOHAVE,161.70709787211447,-85.20552430396125,-0.024037500745068476,-87.67984998509864,1.1088293616101725,0.0,8.050723291808232,0.28,0.0,0.05781396645289377,4.72586239196519
21262.0,1.7999999999999545,MOHAVE,161.70623033026007,-85.24241862563207,-0.024499999999999744,-87.66639998807892,0.7349416716350565,0.0,8.520444947778559,0.28,0.0,0.045378394102300205,4.6710999141682885
21263.0,1.8500000000001364,MOHAVE,161.70617695626277,-85.27900410585359,-0.024799999999999045,-87.65581826430017,1.1046088353830184,0.0,8.76072738920129,0.28,0.0,0.06997173526761997,4.594436322257438
21264.0,1.900000000000091,MOHAVE,161.71251505581554,-85.35260584651775,-0.024799999999999045,-87.29666926823896,1.5935421518522215,0.0,8.818598099989295,0.28,0.0,0.056686018755708,4.554553911161547
21265.0,1.9500000000000455,MOHAVE,161.7193872642638,-85.4378090452418,-0.024978571209617318,-87.26488573355356,1.2991660089158723,0.0,8.908888888888892,0.28,0.0,0.0589396598834387,4.442021514619855
21266.0,2.0,MOHAVE,161.71834267071748,-85.48223292203932,-0.025158333830046863,-87.23292496274662,0.8768275084612661,0.0,8.892000000000005,0.28,0.0,0.06944154401697854,4.29057482863444
21267.0,2.0499999999999545,MOHAVE,161.71896954096738,-85.52547420866485,-0.025344444130478597,-87.11706986383666,1.214404007211523,0.0,8.883555555555558,0.28,0.0,0.08506864788503456,4.187555524786772
21268.0,2.1000000000001364,MOHAVE,161.72436730172726,-85.60348123148162,-0.025033332273700783,-86.71643323372791,1.981617619714278,0.0,8.883555555555558,0.28,0.0,0.0894643933574814,4.147066403877872
21269.0,2.150000000000091,MOHAVE,161.73042565506032,-85.72329552543931,-0.024799999999999045,-86.6590374376396,1.764345422394481,0.0,8.865611054487566,0.28,0.0,0.08137594126473652,4.022837335717201
21270.0,2.2000000000000455,MOHAVE,161.72909825338132,-85.77974651724912,-0.02499999999999858,-86.6009500552332,1.1047706206060288,0.0,8.824444511554331,0.2750000397361141,0.0,0.07155834675604263,3.918400076293339
21271.0,2.25,MOHAVE,161.73671665064234,-85.83321624887382,-0.025200000000001666,-86.54169990662004,1.6357217970294542,0.0,8.72592570222611,0.27,0.0,0.08590923601197252,3.812833106174998
21272.0,2.2999999999999545,MOHAVE,161.747124736486,-85.94226260798962,-0.02309999156366362,-86.52993105638078,2.377464648168297,0.0,8.619179213178779,0.27,0.0,0.0966941937923472,3.7363383031948914
21273.0,2.3500000000001364,MOHAVE,161.75777627770887,-86.06998597713562,-0.020972726602799915,-85.83630896094301,1.9255939879092205,0.0,8.398383329238396,0.27,0.0,0.10630637130620561,3.6399271407514138
21274.0,2.400000000000091,MOHAVE,161.7562629731862,-86.13434295765349,-0.020800000000001262,-85.7480363005829,1.173057659963001,0.0,8.106666373818273,0.27,0.0,0.09662794860511792,3.569972680928417
21275.0,2.4500000000000455,MOHAVE,161.75856980456572,-86.18722329350227,-0.020919999779922697,-85.83447975960115,1.7778348631636836,0.0,7.863466741004224,0.26,0.0,0.09801000124250464,3.5371800108571954
21276.0,2.5,MOHAVE,161.7760085303547,-86.31084973335454,-0.02169230275464834,-85.13587669368741,3.0251087108441954,0.0,7.724069031287829,0.26,0.0,0.09757444966265073,3.520261605472619
21277.0,2.5499999999999545,MOHAVE,161.7893668130844,-86.48800227994991,-0.022666666136851015,-84.84696675991431,2.6298825508483663,0.0,7.3691856773254925,0.26,0.0,0.10006546980472282,3.4602000778829693
21278.0,2.6000000000001364,MOHAVE,161.79031909476583,-86.57332642114984,-0.022999999999999687,-84.71060006377554,1.621732227388784,0.0,7.004666943490861,0.26,0.0,0.09948369454451507,3.3570500879148595
21279.0,2.650000000000091,MOHAVE,161.79820431315306,-86.64976364826187,-0.023195454540527558,-84.61209548618656,2.4402256922408685,0.0,6.692606056446144,0.26,0.0,0.08073488590409274,3.227536361941744
21280.0,2.7000000000000455,MOHAVE,161.82012732074492,-86.81549932014507,-0.023000000596035478,-83.8427082401948,3.5017944901000746,0.0,6.612000000000004,0.26,0.0,0.08881809266780977,3.1749001180150866
21281.0,2.75,MOHAVE,161.83469883931343,-86.99791825968549,-0.022999999999999687,-83.66432467031247,2.867796665536976,0.0,6.291110733615795,0.26,0.0,0.09075712110370514,3.063812361978274
21282.0,2.7999999999999545,MOHAVE,161.84743958015378,-87.10091272489481,-0.023183333068424534,-83.47945011364554,2.032926334057773,0.0,6.025111312441238,0.26,0.0,0.10093817604238053,2.951983385520221
21283.0,2.8500000000001364,MOHAVE,161.85380471025474,-87.20022023335773,-0.02376102051207729,-83.17020022112143,2.654353721334596,0.0,5.742365153719116,0.26,0.0,0.09788636200204073,2.87428805280759
21284.0,2.900000000000091,MOHAVE,161.87555639876172,-87.36469665008724,-0.02591001549723319,-82.62556945282842,3.8983400900793335,0.0,5.615554548897607,0.26,0.0,0.09686566945577664,2.8386398831746957
